Standard Model;G2;G3;G2
"Zeitpunkt in s";"firel in deg";"firel in deg";"firel in deg"
0,212167;85,767691;67,399220;85,767691
0,213167;85,961763;67,528735;85,961763
0,214167;86,155711;67,658132;86,155711
0,215167;86,349530;67,787404;86,349530
0,216167;86,543214;67,916549;86,543214
0,217167;86,736758;68,045562;86,736758
0,218167;86,930155;68,174438;86,930155
0,219167;87,123400;68,303174;87,123400
0,220167;87,316488;68,431766;87,316488
0,221167;87,509413;68,560209;87,509413
0,222167;87,702169;68,688499;87,702169
0,223167;87,894752;68,816633;87,894752
0,224167;88,087155;68,944606;88,087155
0,225167;88,279374;69,072414;88,279374
0,226167;88,471402;69,200054;88,471402
0,227167;88,663235;69,327521;88,663235
0,228167;88,854867;69,454813;88,854867
0,229167;89,046293;69,581923;89,046293
0,230167;89,237507;69,708850;89,237507
0,231167;89,428504;69,835590;89,428504
0,232167;89,619280;69,962137;89,619280
0,233167;89,809827;70,088490;89,809827
0,234167;90,000143;70,214644;90,000143
0,235167;90,190221;70,340595;90,190221
0,236167;90,380055;70,466340;90,380055
0,237167;90,569642;70,591876;90,569642
0,238167;90,758976;70,717198;90,758976
0,239167;90,948051;70,842304;90,948051
0,240167;91,136863;70,967189;91,136863
0,241167;91,325407;71,091851;91,325407
0,242167;91,513677;71,216285;91,513677
0,243167;91,701669;71,340489;91,701669
0,244167;91,889378;71,464460;91,889378
0,245167;92,076798;71,588193;92,076798
0,246167;92,263926;71,711685;92,263926
0,247167;92,450755;71,834934;92,450755
0,248167;92,637282;71,957936;92,637282
0,249167;92,823500;72,080688;92,823500
0,250167;93,009407;72,203186;93,009407
0,251167;93,194996;72,325428;93,194996
0,252167;93,380263;72,447410;93,380263
0,253167;93,565203;72,569129;93,565203
0,254167;93,749811;72,690583;93,749811
0,255167;93,934084;72,811768;93,934084
0,256167;94,118016;72,932682;94,118016
0,257167;94,301602;73,053320;94,301602
0,258167;94,484838;73,173681;94,484838
0,259167;94,667720;73,293762;94,667720
0,260167;94,850242;73,413559;94,850242
0,261167;95,032401;73,533070;95,032401
0,262167;95,214192;73,652292;95,214192
0,263167;95,395610;73,771223;95,395610
0,264167;95,576652;73,889858;95,576652
0,265167;95,757311;74,008197;95,757311
0,266167;95,937585;74,126235;95,937585
0,267167;96,117469;74,243972;96,117469
0,268167;96,296958;74,361402;96,296958
0,269167;96,476049;74,478526;96,476049
0,270167;96,654737;74,595338;96,654737
0,271167;96,833017;74,711838;96,833017
0,272167;97,010886;74,828023;97,010886
0,273167;97,188339;74,943890;97,188339
0,274167;97,365372;75,059436;97,365372
0,275167;97,541981;75,174660;97,541981
0,276167;97,718162;75,289559;97,718162
0,277167;97,893911;75,404130;97,893911
0,278167;98,069224;75,518371;98,069224
0,279167;98,244097;75,632280;98,244097
0,280167;98,418525;75,745855;98,418525
0,281167;98,592505;75,859094;98,592505
0,282167;98,766033;75,971993;98,766033
0,283167;98,939105;76,084552;98,939105
0,284167;99,111717;76,196767;99,111717
0,285167;99,283865;76,308637;99,283865
0,286167;99,455546;76,420159;99,455546
0,287167;99,626755;76,531332;99,626755
0,288167;99,797489;76,642153;99,797489
0,289167;99,967744;76,752621;99,967744
0,290167;100,137517;76,862733;100,137517
0,291167;100,306803;76,972488;100,306803
0,292167;100,475599;77,081883;100,475599
0,293167;100,643901;77,190916;100,643901
0,294167;100,811706;77,299586;100,811706
0,295167;100,979011;77,407891;100,979011
0,296167;101,145811;77,515829;101,145811
0,297167;101,312103;77,623398;101,312103
0,298167;101,477883;77,730596;101,477883
0,299167;101,643149;77,837422;101,643149
0,300167;101,807897;77,943873;101,807897
0,301167;101,972122;78,049949;101,972122
0,302167;102,135823;78,155647;102,135823
0,303167;102,298995;78,260966;102,298995
0,304167;102,461635;78,365903;102,461635
0,305167;102,623741;78,470459;102,623741
0,306167;102,785308;78,574630;102,785308
0,307167;102,946333;78,678415;102,946333
0,308167;103,106813;78,781813;103,106813
0,309167;103,266746;78,884822;103,266746
0,310167;103,426127;78,987441;103,426127
0,311167;103,584954;79,089668;103,584954
0,312167;103,743223;79,191502;103,743223
0,313167;103,900932;79,292941;103,900932
0,314167;104,058077;79,393984;104,058077
0,315167;104,214656;79,494629;104,214656
0,316167;104,370665;79,594876;104,370665
0,317167;104,526101;79,694722;104,526101
0,318167;104,680962;79,794166;104,680962
0,319167;104,835244;79,893208;104,835244
0,320167;104,988945;79,991846;104,988945
0,321167;105,142062;80,090078;105,142062
0,322167;105,294592;80,187904;105,294592
0,323167;105,446532;80,285322;105,446532
0,324167;105,597879;80,382330;105,597879
0,325167;105,748630;80,478929;105,748630
0,326167;105,898784;80,575116;105,898784
0,327167;106,048336;80,670890;106,048336
0,328167;106,197285;80,766251;106,197285
0,329167;106,345628;80,861197;106,345628
0,330167;106,493362;80,955727;106,493362
0,331167;106,640484;81,049840;106,640484
0,332167;106,786993;81,143535;106,786993
0,333167;106,932885;81,236812;106,932885
0,334167;107,078157;81,329668;107,078157
0,335167;107,222809;81,422103;107,222809
0,336167;107,366836;81,514116;107,366836
0,337167;107,510236;81,605706;107,510236
0,338167;107,653008;81,696873;107,653008
