Standard Model;Bus 1
"Zeitpunkt in s";"Elektrische Frequenz in Hz"
0,449000;60,000000
0,450000;60,000000
0,451000;60,000000
0,452000;60,000000
0,453000;60,000000
0,454000;60,000000
0,455000;60,000000
0,456000;60,000000
0,457000;60,000000
0,458000;60,000000
0,459000;60,000000
0,460000;60,000000
0,461000;60,000000
0,462000;60,000000
0,463000;60,000000
0,464000;60,000000
0,465000;60,000000
0,466000;60,000000
0,467000;60,000000
0,468000;60,000000
0,469000;60,000000
0,470000;60,000000
0,471000;60,000000
0,472000;60,000000
0,473000;60,000000
0,474000;60,000000
0,475000;60,000000
0,476000;60,000000
0,477000;60,000000
0,478000;60,000000
0,479000;60,000000
0,480000;60,000000
0,481000;60,000000
0,482000;60,000000
0,483000;60,000000
0,484000;60,000000
0,485000;60,000000
0,486000;60,000000
0,487000;60,000000
0,488000;60,000000
0,489000;60,000000
0,490000;60,000000
0,491000;60,000000
0,492000;60,000000
0,493000;60,000000
0,494000;60,000000
0,495000;60,000000
0,496000;60,000000
0,497000;60,000000
0,498000;60,000000
0,499000;60,000000
0,500000;60,000000
0,501000;60,000000
0,502000;60,000000
0,503000;60,000000
0,504000;60,000000
0,505000;60,000000
0,506000;60,000000
0,507000;60,000000
0,508000;60,000000
0,509000;60,000000
0,510000;60,000000
0,511000;60,000000
0,512000;60,000000
0,513000;60,000000
0,514000;60,000000
0,515000;60,000000
0,516000;60,000000
0,517000;60,000000
0,518000;60,000000
0,519000;60,000000
0,520000;60,000000
0,521000;60,000000
0,522000;60,000000
0,523000;60,000000
0,524000;60,000000
0,525000;60,000000
0,526000;60,000000
0,527000;60,000000
0,528000;60,000000
0,529000;60,000000
0,530000;60,000000
0,531000;60,000000
0,532000;60,000000
0,533000;60,000000
0,534000;60,000000
0,535000;60,000000
0,536000;60,000000
0,537000;60,000000
0,538000;60,000000
0,539000;60,000000
0,540000;60,000000
0,541000;60,000000
0,542000;60,000000
0,543000;60,000000
0,544000;60,000000
0,545000;60,000000
0,546000;60,000000
0,547000;60,000000
0,548000;60,000000
0,549000;60,000000
0,550000;60,000000
0,551000;60,000000
0,552000;60,000000
0,553000;60,000000
0,554000;60,000000
0,555000;60,000000
0,556000;60,000000
0,557000;60,000000
0,558000;60,000000
0,559000;60,000000
0,560000;60,000000
0,561000;60,000000
0,562000;60,000000
0,563000;60,000000
0,564000;60,000000
0,565000;60,000000
0,566000;60,000000
0,567000;60,000000
0,568000;60,000000
0,569000;60,000000
0,570000;60,000000
0,571000;60,000000
0,572000;60,000000
0,573000;60,000000
0,574000;60,000000
0,575000;60,000000
0,576000;60,000000
0,577000;60,000000
0,578000;60,000000
0,579000;60,000000
0,580000;60,000000
0,581000;60,000000
0,582000;60,000000
0,583000;60,000000
0,584000;60,000000
0,585000;60,000000
0,586000;60,000000
0,587000;60,000000
0,588000;60,000000
0,589000;60,000000
0,590000;60,000000
0,591000;60,000000
0,592000;60,000000
0,593000;60,000000
0,594000;60,000000
0,595000;60,000000
0,596000;60,000000
0,597000;60,000000
0,598000;60,000000
0,599000;60,000000
0,600000;60,000000
0,601000;60,000000
0,602000;60,000000
0,603000;60,000000
0,604000;60,000000
0,605000;60,000000
0,606000;60,000000
0,607000;60,000000
0,608000;60,000000
0,609000;60,000000
0,610000;60,000000
0,611000;60,000000
0,612000;60,000000
