Classical Model;G2;G3
"Zeitpunkt in s";"firel in deg";"firel in deg"
0,348467;77,155175;50,850769
0,349467;77,253669;50,937330
0,350467;77,351138;51,023265
0,351467;77,447581;51,108572
0,352467;77,542997;51,193248
0,353467;77,637384;51,277289
0,354467;77,730742;51,360693
0,355467;77,823070;51,443456
0,356467;77,914366;51,525577
0,357467;78,004629;51,607052
0,358467;78,093858;51,687877
0,359467;78,182053;51,768051
0,360467;78,269212;51,847571
0,361467;78,355334;51,926433
0,362467;78,440418;52,004635
0,363467;78,524463;52,082174
0,364467;78,607469;52,159046
0,365467;78,689435;52,235250
0,366467;78,770359;52,310782
0,367467;78,850241;52,385640
0,368467;78,929080;52,459821
0,369467;79,006875;52,533321
0,370467;79,083626;52,606139
0,371467;79,159332;52,678271
0,372467;79,233992;52,749715
0,373467;79,307605;52,820468
0,374467;79,380171;52,890527
0,375467;79,451689;52,959890
0,376467;79,522158;53,028553
0,377467;79,591578;53,096514
0,378467;79,659948;53,163771
0,379467;79,727268;53,230320
0,380467;79,793537;53,296159
0,381467;79,858755;53,361286
0,382467;79,922920;53,425697
0,383467;79,986034;53,489390
0,384467;80,048094;53,552362
0,385467;80,109101;53,614611
0,386467;80,169054;53,676134
0,387467;80,227953;53,736928
0,388467;80,285798;53,796991
0,389467;80,342588;53,856321
0,390467;80,398322;53,914914
0,391467;80,453001;53,972768
0,392467;80,506624;54,029881
0,393467;80,559191;54,086250
0,394467;80,610701;54,141872
0,395467;80,661155;54,196745
0,396467;80,710552;54,250867
0,397467;80,758892;54,304234
0,398467;80,806174;54,356845
0,399467;80,852399;54,408697
0,400467;80,897566;54,459787
0,401467;80,941675;54,510114
0,402467;80,984727;54,559674
0,403467;81,026720;54,608465
0,404467;81,067655;54,656485
0,405467;81,107532;54,703731
0,406467;81,146351;54,750201
0,407467;81,184111;54,795893
0,408467;81,220813;54,840804
0,409467;81,256457;54,884932
0,410467;81,291042;54,928274
0,411467;81,324569;54,970828
0,412467;81,357037;55,012593
0,413467;81,388448;55,053565
0,414467;81,418800;55,093742
0,415467;81,448094;55,133122
0,416467;81,476330;55,171703
0,417467;81,503508;55,209482
0,418467;81,529629;55,246458
0,419467;81,554692;55,282627
0,420467;81,578697;55,317989
0,421467;81,601645;55,352540
0,422467;81,623537;55,386279
0,423467;81,644371;55,419203
0,424467;81,664149;55,451310
0,425467;81,682870;55,482598
0,426467;81,700535;55,513065
0,427467;81,717145;55,542709
0,428467;81,732698;55,571528
0,429467;81,747197;55,599519
0,430467;81,760640;55,626681
0,431467;81,773029;55,653011
0,432467;81,784364;55,678508
0,433467;81,794644;55,703170
0,434467;81,803871;55,726994
0,435467;81,812045;55,749979
0,436467;81,819166;55,772122
0,437467;81,825234;55,793422
0,438467;81,830251;55,813877
0,439467;81,834215;55,833485
0,440467;81,837129;55,852244
0,441467;81,838992;55,870152
0,442467;81,839805;55,887207
0,443467;81,839568;55,903407
0,444467;81,838282;55,918752
0,445467;81,835947;55,933238
0,446467;81,832564;55,946864
0,447467;81,828133;55,959628
0,448467;81,822655;55,971529
0,449467;81,816131;55,982565
0,450467;81,808560;55,992734
0,451467;81,799945;56,002035
0,452467;81,790284;56,010465
0,453467;81,779580;56,018024
0,454467;81,767831;56,024709
0,455467;81,755040;56,030519
0,456467;81,741207;56,035452
0,457467;81,726332;56,039507
0,458467;81,710416;56,042683
0,459467;81,693460;56,044977
0,460467;81,675464;56,046388
0,461467;81,656429;56,046916
0,462467;81,636357;56,046557
0,463467;81,615246;56,045312
0,464467;81,593100;56,043178
0,465467;81,569917;56,040154
0,466467;81,545700;56,036239
0,467467;81,520448;56,031432
0,468467;81,494162;56,025730
0,469467;81,466844;56,019133
0,470467;81,438494;56,011640
0,471467;81,409113;56,003250
0,472467;81,378701;55,993960
0,473467;81,347260;55,983770
0,474467;81,314791;55,972679
0,475467;81,281294;55,960686
0,476467;81,246771;55,947789
0,477467;81,211221;55,933987
0,478467;81,174647;55,919280
0,479467;81,137049;55,903666
0,480467;81,098427;55,887144
0,481467;81,058784;55,869713
0,482467;81,018119;55,851373
0,483467;80,976435;55,832122
0,484467;80,933731;55,811960
0,485467;80,890009;55,790885
0,486467;80,845269;55,768897
0,487467;80,799514;55,745995
0,488467;80,752744;55,722178
0,489467;80,704959;55,697445
0,490467;80,656162;55,671795
0,491467;80,606352;55,645229
0,492467;80,555532;55,617745
0,493467;80,503702;55,589342
0,494467;80,450863;55,560020
0,495467;80,397017;55,529779
0,496467;80,342164;55,498617
0,497467;80,286307;55,466535
0,498467;80,229445;55,433531
0,499467;80,171580;55,399605
0,500467;80,112714;55,364758
0,501467;80,052847;55,328987
0,502467;79,991980;55,292294
0,503467;79,930116;55,254677
0,504467;79,867255;55,216137
0,505467;79,803398;55,176673
0,506467;79,738547;55,136285
0,507467;79,672702;55,094972
0,508467;79,605866;55,052735
0,509467;79,538039;55,009573
0,510467;79,469224;54,965486
0,511467;79,399420;54,920474
0,512467;79,328630;54,874538
0,513467;79,256854;54,827676
0,514467;79,184095;54,779890
0,515467;79,110354;54,731179
0,516467;79,035631;54,681543
0,517467;78,959929;54,630982
0,518467;78,883248;54,579497
0,519467;78,805591;54,527088
0,520467;78,726958;54,473755
0,521467;78,647352;54,419498
0,522467;78,566773;54,364317
0,523467;78,485223;54,308214
0,524467;78,402704;54,251188
0,525467;78,319217;54,193240
0,526467;78,234764;54,134370
0,527467;78,149345;54,074579
0,528467;78,062964;54,013868
0,529467;77,975621;53,952236
0,530467;77,887318;53,889685
0,531467;77,798056;53,826215
0,532467;77,707837;53,761827
0,533467;77,616664;53,696522
0,534467;77,524536;53,630300
0,535467;77,431457;53,563163
0,536467;77,337428;53,495111
0,537467;77,242450;53,426145
0,538467;77,146525;53,356266
0,539467;77,049656;53,285475
0,540467;76,951843;53,213773
0,541467;76,853088;53,141162
0,542467;76,753394;53,067642
0,543467;76,652762;52,993214
0,544467;76,551193;52,917880
0,545467;76,448690;52,841641
0,546467;76,345255;52,764499
0,547467;76,240889;52,686454
0,548467;76,135594;52,607508
0,549467;76,029373;52,527662
0,550467;75,922226;52,446919
0,551467;75,814157;52,365279
0,552467;75,705167;52,282744
0,553467;75,595257;52,199315
0,554467;75,484430;52,114996
0,555467;75,372688;52,029786
0,556467;75,260034;51,943688
0,557467;75,146468;51,856703
0,558467;75,031993;51,768834
0,559467;74,916611;51,680082
0,560467;74,800325;51,590450
0,561467;74,683135;51,499939
0,562467;74,565046;51,408552
0,563467;74,446057;51,316289
0,564467;74,326173;51,223155
0,565467;74,205394;51,129150
0,566467;74,083724;51,034277
0,567467;73,961164;50,938538
0,568467;73,837717;50,841936
0,569467;73,713385;50,744473
0,570467;73,588170;50,646152
