t,V,θ,Eq,Ed,ψ1d,ψ2q,δ,ω,Id,Iq,Pg,Qg,dEq,dEd,dψ1d,dψ2q,dδ,dω,Efd,Vt,Vr,Vf,dEfd,dVt,dVr,dVf,Pm,Pv,Tm,dPm,dPv
13.369610262207567,1.0495206368244856,0.09619516989195055,1.0454260109505833,0.48466988700827374,0.8838953728655453,-0.6638493713271819,0.8675194921308548,0.9996264698122991,0.7316418392814547,0.3796238866481691,6.5675025542491205,2.1825684877994966,-0.0003353407697973438,7.05235546447978e-5,-0.00031768771580254894,-8.539545065564586e-5,0.0003122014601683519,1.8646478928604526e-5,2.236975009553728,1.049521944165111,-0.09376750963793341,-5.5381214535192736e-5,-8.12245000621899e-5,-0.00013073398239914476,0.0004558361392893368,3.953201261698597e-5,0.821099983074742,0.8202539359981414,0.8214068033123204,-0.0002827836761136661,-0.0005666644707261616
13.379610262207567,1.0495193270188417,0.09619572959111548,1.0454226603990828,0.48467058785903044,0.8838922019083231,-0.6638502174126412,0.8675225932311209,0.9996266552115833,0.7316407567689102,0.37962407793978054,6.567494720593405,2.1825414373069254,-0.0003347662703963181,6.964275431112023e-5,-0.0003164993014271448,-8.382547455055082e-5,0.0003078671965346372,1.8434334360388477e-5,2.2369742453529846,1.049520635975744,-0.09376295123859305,-5.498457695413091e-5,-7.161434444431345e-5,-0.00013089574623412493,0.00045580411858808475,3.979522945884166e-5,0.8210971589283663,0.8202482887403559,0.8214038257657776,-0.0002820445315070641,-0.0005627859216373969
13.389610262207567,1.0495180163280065,0.09619626590704342,1.045419315689773,0.4846712797934836,0.8838890429640873,-0.6638510479198124,0.8675256464884155,0.9996268385175539,0.7316396406198141,0.37962425698214075,6.567486557239584,2.182514414648663,-0.0003341723418430663,6.874097390585658e-5,-0.00031528568111332503,-8.228072917596606e-5,0.000302636736145193,1.8227781493597998e-5,2.2369735772846924,1.0495193264132179,-0.09375839434626575,-5.458531587349212e-5,-6.199884719256932e-5,-0.00013100859187229535,0.00045553486550992177,4.005666413416565e-5,0.8210943422047191,0.8202426803005661,0.8214008573662067,-0.00028129924739766766,-0.0005589012727595487
13.399610262207567,1.0495167052424583,0.09619676961729526,1.0454159770165923,0.48467196262195866,0.8838858962685445,-0.6638518631282332,0.8675286430560669,0.9996270197850807,0.7316384913788295,0.37962442516046047,6.56747807959233,2.1824874134601244,-0.00033355906401182404,6.782223626842395e-5,-0.00031405008656972585,-8.076659343291086e-5,0.00029653317515530695,1.8026607313145726e-5,2.236973005377212,1.0495180159673747,-0.0937538413294242,-5.4183450558678575e-5,-5.2383019411754034e-5,-0.00013107238961209124,0.00045502915371610855,4.031602849926697e-5,0.8210915329617815,0.820237110728072,0.8213978981265767,-0.00028054849756001943,-0.0005550128309973579
13.409610262207567,1.0495153942589008,0.0961972316803748,1.0454126445724528,0.484672636194868,0.8838827620261797,-0.663852663369383,0.8675315743192161,0.9996271990668163,0.7316373096252499,0.3796245838956335,6.567469303887968,2.182460427946363,-0.000332926557112592,6.689052856945287e-5,-0.0003127955419751262,-7.928809925909053e-5,0.0002895797231162219,1.7830583635955483e-5,2.2369725296087135,1.0495167051293188,-0.09374929454868906,-5.377900314493784e-5,-4.277188334438312e-5,-0.00013108701462743213,0.0004542877771411284,4.057303673271555e-5,0.8210887312510334,0.8202315800499651,0.8213949480542202,-0.0002797929119119045,-0.0005511227434697327
13.419610262207566,1.049514083869164,0.09619764321447316,1.0454093185489501,0.4846733004022069,0.8838796404119872,-0.6638534490237569,0.8675344318945657,0.9996273764130968,0.7316360961048634,0.3796247345709871,6.567460246864673,2.1824334519238753,-0.0003322749648050168,6.59497781232359e-5,-0.00031152491476679756,-7.785000715198996e-5,0.0002817994907969566,1.7639475239186364e-5,2.2369721499073076,1.0495153943913322,-0.0937447563566942,-5.3371998607198615e-5,-3.317043360802096e-5,-0.0001310523561939199,0.0004533115410135647,4.082740648419605e-5,0.8210859371178114,0.8202260882724303,0.8213920071534937,-0.00027903308822218844,-0.0005472330413835109
13.429610262207566,1.0495127745638204,0.09619799553688406,1.0454059991358862,0.48467395517813616,0.8838765315695608,-0.6638542205239848,0.8675372076607161,0.9996275518715387,0.7316348516739904,0.3796248785420736,6.567450925792805,2.182406479258197,-0.0003316044577359057,6.50038278035074e-5,-0.00031024086784185696,-7.645673651499254e-5,0.0002732154417417228,1.7453039485749824e-5,2.2369718661444686,1.049514084246926,-0.09374022909683047,-5.296246510840226e-5,-2.358363974267647e-5,-0.0001309683113491358,0.0004521012667885683,4.1078859167779404e-5,0.8210831506008921,0.8202206353794065,0.8213890754247718,-0.00027826958427422784,-0.0005433456121997057
13.439610262207566,1.0495114668421455,0.0961982801452076,1.0454026865213397,0.48467460048908534,0.8838734356215652,-0.6638549783374237,0.8675398936931406,0.9996277254876016,0.7316335771350703,0.3796250171980875,6.567441358342645,2.1823795046215255,-0.00033091525946617076,6.40567269104038e-5,-0.0003089459892038501,-7.511258298492616e-5,0.0002638524052825035,1.7271002661377782e-5,2.2369716781489384,1.0495127751904092,-0.09373571510511887,-5.255043318360811e-5,-1.4016896227510295e-5,-0.00013083478018305873,0.00045065789618759286,4.132709594399385e-5,0.8210803717346239,0.8202152213399311,0.8213861528642502,-0.00027750294927019034,-0.0005394623022197169
13.449610262207566,1.0495101612002307,0.09619848870522268,1.0453993808914699,0.48467523633637977,0.8838703526683888,-0.6638557229683852,0.8675424822819917,0.9996278973043895,0.7316322733903874,0.3796251518841481,6.56743156235538,2.1823525225047113,-0.0003302075478483839,6.311159086756356e-5,-0.0003076422304321236,-7.382078266969134e-5,0.00025372971153776703,1.7093151835092873e-5,2.2369715857027384,1.0495114677169588,-0.09373121670942282,-5.2135935955384276e-5,-4.474419410719422e-6,-0.0001306516858373105,0.00044898217337588977,4.15718839082639e-5,0.8210776005486117,0.8202098461070892,0.821383239466109,-0.00027673360164439975,-0.0005355845163037181
13.459610262207566,1.0495088581329381,0.09619861307675126,1.0453960824301567,0.4846758627584197,0.8838672827880131,-0.6638564549582726,0.8675449659500676,0.9996280673624054,0.731630941405742,0.37962528390650735,6.567421555800475,2.1823255274433184,-0.00032948157417812476,6.217222127748985e-5,-0.0003063317981442344,-7.258498183274608e-5,0.00024287152871248438,1.6919213064211468e-5,2.2369715885370556,1.04951016232252,-0.09372673622836357,-5.17190093412545e-5,5.038497170488449e-6,-0.00013041896177844542,0.000447075086714983,4.18129334574836e-5,0.8210748370676201,0.8202045096177683,0.8213803352221538,-0.00027596202263209535,-0.0005317138598333056
13.469610262207565,1.0495075581379776,0.09619864532708935,1.0453927913188152,0.4846764798293344,0.8838642260382956,-0.6638571748817589,0.8675473374501868,0.9996282356995361,0.7316295821463386,0.3796254145530478,6.5674113567272405,2.1822985143570337,-0.00032873758828760164,6.124200617828066e-5,-0.00030501651024654344,-7.140818434384906e-5,0.0002313000413961935,1.674893170770439e-5,2.236971686332533,1.0495088595036703,-0.09372227597091477,-5.129969201431318e-5,1.4516960529253056e-5,-0.00013013655292630488,0.0004449375985640353,4.204997923156292e-5,0.8210720813119708,0.820199211794066,0.8213774401214399,-0.0002751886203968776,-0.0005278516860235488
13.479610262207565,1.0495062617132034,0.09619857769479428,1.0453895077366728,0.48467708765201023,0.8838611824620647,-0.6638578833383096,0.8675495897253677,0.9996284023514792,0.7316281965949765,0.3796255450786813,6.5674009831177225,2.1822714783063093,-0.00032797583488696055,6.0324004144898346e-5,-0.00030369789688518284,-7.029291027477714e-5,0.00021903579346425206,1.6582070120176197e-5,2.236971878727768,1.0495075597573968,-0.09371783823761236,-5.087802492174526e-5,2.395641338478074e-5,-0.00012980442204843856,0.00044257064933992367,4.228277577969205e-5,0.821069333298575,0.820193952546795,0.8213745541514464,-0.0002744137485130312,-0.0005239991605733413
